es,pt
realizado,concluda
unas,nas
transferencia,transferncia
fianza,fiana
usuario,username
caso,caso
encarga,responsvel
pasando,pasagem
transparentes,transparentes
coptacin,coptao
tarda,demora
leves,menos
coreo,eleitor
carta,da
honor,honorio
trabajamos,trabalhar
proteger,proteger
financiera,financeira
alfano,alfano
euro,trecho
designado,designada
horas,horas
jaramilo,jaramilo
invita,convida
ingreso,entrada
exhorta,exorta
adultos,adultos
legislativa,competncias
contar,estar
cometido,cometer
compromisos,compromisos
persistir,existir
convencidos,convictos
nuestra,internet
analizar,avaliar
empleadas,empregada
asamblea,asembleia
mapamondo,mapamondo
recibir,receber
continuarn,outubro
agenda,agenda
e,se
senado,senado
grupo,um
hospital,hospital
alimentarias,alimentares
empieza,comea
editado,contem
fsicas,fsicas
informativo,informativo
servicio,servio
prioritaria,prioritria
presentada,apresentada
emprender,decidirmos
final,final
tiempo,tempo
testigo,testemunha
comunique,comunicada
requisitos,informarse
mario,vindas
tel,tel
incluidos,estudantes
ayuda,ajuda
tenida,que
le,lhe
instituto,talolatino
animas,animos
momento,momento
polticas,polticos
cuba,","
bon,bon
u,ou
foletos,panfletos
residir,residir
roma,roma
estacin,estao
estado,estado
quin,quem
utiliza,usado
puedo,poso
tienen,terem
fotografa,fotografia
condena,condenao
locales,locais
peticin,petio
desde,declarar
ciudadanos,cidados
judicial,individual
consideracin,considerao
poblacin,populao
civiles,parceiros
labor,do
ofrecida,oferecido
decidimos,decidirmos
partidos,poltico
candidatura,candidatura
compensacin,quaisquer
ferdinando,ferdinando
siguiente,seguinte
necesario,necesrio
aparecer,comparecer
moro,moro
respalden,suportem
postulada,nomeada
salvador,equador
esto,isto
global,global
podra,pode
mucha,muito
comit,comit
comunicaciones,participaes
extranjero,estrangeiro
generales,gerais
original,original
mateo,mateo
lmites,limites
estas,destas
directo,comerciais
retira,autorizao
evitar,preveno
pagar,pagar
votantes,eleitores
transcurso,durante
portugus,portugus
cubiertas,prenchidas
necesidades,necesidades
que,que
transcripcin,transcrio
italianos,italianos
apoderados,asociados
coste,de
vicepresidente,vicepresidente
dos,duas
motivo,motivo
ayudarn,ajudaro
fecha,da
frente,cmera
serie,srie
seminario,seminrio
centros,semelhante
tanto,portanto
pabeln,pavilho
ariba,acima
urna,numa
ninguna,indicada
poderes,diferentes
incuridos,incoridas
alergias,alergias
acusada,acusada
mexicanos,mexicanos
polticos,polticos
gravedad,gravidade
buf,bufet
reducin,reduo
milones,milhes
seanad,seanad
gobiernos,governos
autorizado,autorizado
presidencia,presidncia
largo,reunio
producido,ocorido
asegurar,asegurada
europeas,europeias
unit,vtimas
condado,compilam
papeleta,boletim
realice,confirma
ubicado,localizado
parlamentos,parlamentos
periodistas,jornalistas
denuncia,queixa
club,club
legalmente,promesa
incluye,contm
paz,paz
sera,pedimos
explica,explica
escrutador,presidente
irlandeses,irlandeses
cheque,cheques
permita,autorize
martes,terafeira
sociales,sociais
adems,diso
unin,unio
hoteles,sede
depende,dependem
escribirnos,escrevernos
semana,semana
soberana,soberana
divulgacin,divulgao
delito,crime
contribucin,consiste
decisiones,decises
pruebas,provas
corecta,democrtica
sexual,grave
descrito,presidente
normativas,cumprir
palabra,fala
nasiriya,nasiriya
total,total
bolivia,bolvia
muchos,muitos
disponible,disponvel
videolink,videolink
acompado,acompanhado
se,se
resultado,resultado
este,este
obras,obras
viable,vivel
toda,de
antes,antes
fuerzas,foras
impedir,impedir
enrique,enrique
eror,ero
director,chefe
donde,seu
aplicar,solicitar
hait,haiti
detenimiento,cuidadosamente
sospechoso,suspeito
vista,vo
habitualmente,efectivamente
competente,competente
embajador,embaixador
destinados,destacados
atencin,ateno
decidirn,consideraro
solicitarlos,justificaes
significa,significa
unos,custa
violencia,diversas
da,dia
figurar,descrita
tiles,teis
cena,jantar
formas,formas
acusa,acusar
sospechosa,suspeita
conexin,conhea
skinerkle,skinerkle
solidariamente,solidariamente
opciones,esconder
varios,polcia
afiliacin,filiao
ido,ido
sostiene,apoia
indique,diser
monetaria,financeiro
informes,relatrios
nos,tendo
documentacin,documentao
salas,salas
travs,atravs
directrices,diretrizes
road,road
transfieren,transferidos
sencilo,simples
formularios,formulrio
mediante,resultado
considerar,considerar
conforme,amparo
eurostar,eurostar
amrica,amrica
xiv,xiv
intervencin,disponvel
elegida,elegvel
renzi,renzi
cundo,quando
conclusiones,concluses
al,a
consecuencias,consequncias
asuntos,asuntos
buen,e
seguridad,estado
escrito,escrito
tratamiento,histrico
distribuye,distribudo
legarn,entraro
presentados,apresentado
ocupa,encontre
pueda,posa
pblico,pblico
pas,pas
obtenida,promotoria
suficientes,suficientes
infancia,infncia
central,criminal
opcin,escolha
sela,","
motivos,motivos
pier,pier
simultnea,simultnea
i,i
propuesta,candidatura
familia,famlia
son,so
de,da
ejemplos,exemplos
revelacin,facultar
funcionario,funcionrio
entregada,ajudar
tiene,tm
implicado,envolvido
rigurosas,severas
tulo,tulo
euros,euros
nuevas,caso
piaza,piaza
explicar,explicar
medida,advertido
compartido,participativo
flores,flores
examinamos,analisamos
talolatino,americano
electorales,eleitorais
disposicin,publicado
plazo,prazo
constitucin,constituio
beneficios,benefcios
justicia,justia
identidad,identidade
listas,listas
hablarle,sobre
ejemplo,exemplo
tnico,etnia
reciba,receba
condenado,condenado
estudian,enquanto
ofensas,menores
mximo,nomes
cdigos,dois
mesa,a
corupcin,poltica
w,w
investiga,investiga
leyes,legislao
latina,latina
vida,a
miembros,membros
eliminar,eliminao
ler,ler
sostenible,sustentvel
estados,estados
hogares,para
diputados,deputados
relevante,relevantes
penas,penas
proponente,proponente
categora,titular
entregar,liberar
realizar,durante
alojamiento,pernoite
visitar,visitar
stephanie,stephanie
perpetua,perptua
nombrado,nomeado
solicitar,registo
censados,inscritos
confirmar,confirmar
x,x
presencia,presena
menores,menores
dirigirse,dirigirse
clima,climtica
repercutir,resultado
puede,pode
emisoras,empresas
octubre,outubro
completo,permanente
presidenciales,presidenciais
intereses,intereses
pretende,presta
profesionales,profisionais
existan,havendo
directora,diretora
negocios,negcios
vacante,vaga
merion,merion
apartamento,apartamento
prensa,imprensa
asistentes,participantes
censo,cadernos
objetivos,outrosim
persona,pesoa
adir,adio
lnea,linha
entidad,instituio
viernes,domingos
exitosa,pode
un,um
controles,segurana
coherentes,consistentes
cargo,cargo
produjo,ocoreu
tomamos,tomamos
domingos,incluindo
solo,s
combinadas,combinadas
alegar,que
recordar,apropriado
tercera,terceira
pgina,pgina
uficio,uficio
apoyo,pesoa
dedicado,fornece
promocin,promo
direcin,endereo
juez,juiz
reunir,reunir
gasto,despesas
sexuales,sexuais
acuerdo,concordar
directas,diretas
fuera,conhecer
sido,a
nuova,nuova
completa,completa
detales,informaes
celebrar,realizarse
civil,civil
designa,define
despus,aps
aeropuerto,aeroporto
condados,condados
administracin,administrao
biblioteca,unidade
",",","
nombres,nomes
crucial,primordial
permitido,permitido
waterford,waterford
precio,roma
mismo,forma
con,a
marinos,marinhos
votar,votar
facilitar,facilitar
vigor,vigor
realizndose,procesaro
demostrar,provar
principal,principal
garantizar,garantir
seis,seis
recuento,contagem
casos,casos
ida,e
preguntarnos,interogarnos
las,das
entregado,liberado
acto,evento
ponerse,contatar
ocultar,voto
septiembre,setembro
actualizado,atualizado
local,local
superior,superior
oficial,oficial
solicitante,imposibilidade
dei,dei
redacin,redao
punto,ponto
relenando,prenchendo
francs,francs
asegurarnos,asegurar
contenida,ouvidas
cantidad,mxima
sesin,seso
retirar,vtima
firmar,asinar
admisibles,admisveis
declaracin,declarao
escritas,entregues
ayuntamientos,municipais
semanas,semanas
guardaropa,guardaroupa
britnicos,britnicos
atestiguadas,testemunhadas
orden,despacho
prohibido,proibido
a,a
georgia,ilhas
fijado,dias
todo,tudo
of,do
independiente,independente
estar,estar
cathaoirleach,cathaoirleach
inocente,inocente
fechar,datar
tarjetas,cartes
cmara,cmara
elo,iso
eleciones,eleies
aceder,usar
depsito,candidato
distribucin,distribuio
destaca,salienta
vea,ver
ofrecido,oferecido
zorila,ortelado
cual,da
expresar,expresa
importancia,importncia
detalada,detalhadas
meses,meses
permitidas,permitidas
mientras,frequentam
ocupar,que
entrada,entrada
probabilidad,posibilidade
inecesariamente,desnecesariamente
encuentro,encontro
programa,programa
esas,pesoa
para,para
doctores,mdicos
resultados,resultados
prisin,priso
procedente,proveniente
poltico,poltico
cortes,tribunais
libre,livre
nacional,comunitria
responde,descritas
anual,anual
declarados,declarados
recepcin,recepo
necesarios,necesrios
educativo,emitido
derechos,direitos
tarjeta,carto
consejo,conselho
pblicos,pblicos
tarea,tarefa
complaints,poltica
incompatibles,incompatveis
examinar,avaliar
garanticen,asegurar
paraguay,paraguai
morales,perturbao
europea,europeia
realizacin,realizao
eventos,eventos
hora,horio
indicarse,indicar
dp,dp
comisin,comiso
superintendencia,superintendente
excedente,excedentes
juicios,juzos
prcticas,conduta
veredicto,veredicto
personales,pesoais
cuyo,cujo
realaci,realaci
levar,palet
interfiere,informao
actual,actual
ratificar,confirmar
auditor,auditor
cheques,cheques
dilaciones,adiamentos
ofrecer,oferecer
secretario,escrivo
comprometerse,comprometeremse
tipos,tipos
justas,justas
tener,ter
alguna,incluir
sud,do
gobierno,responsveis
posicin,constante
saludo,boas
escala,nvel
duda,dvida
documento,documento
abogados,advogados
representantes,representantes
testigos,quais
graves,graves
zonas,reas
responsables,responsvel
conferencia,conferncia
consejos,conselhos
comparte,partilha
ningn,ningum
selar,carimbar
leva,leva
globalizacin,globalizao
aldo,salo
candidatos,candidatos
falecido,morido
requisito,requisito
tomar,da
alguien,algum
trabajar,trabalhar
voto,voto
incluyan,incluir
julio,julho
presin,tenso
reafirma,reafirma
abogado,advogado
sanidad,sade
presentes,proceso
jurado,jri
acerca,sobre
boldrini,boldrini
gentiloni,gentiloni
casini,casini
esperan,proceso
desean,que
aos,anos
min,min
aula,aula
tren,trem
rafael,rafael
cabe,de
gerencia,diretiva
despedida,despedida
en,em
ni,no
gran,grandes
votos,votos
encuentra,caribe
nmero,ou
referencia,participante
fines,fins
comprometiendo,parlamentos
estresante,estresante
lane,lane
integridad,integridade
del,do
especfica,especfica
pudiera,valor
incluyen,incluemse
impacto,impacto
judiciales,judicial
previas,permitem
su,a
electores,eleitores
introducin,introduo
sobre,sobre
inters,interese
legar,chegar
consideramos,consideramos
guiada,guiada
dnde,onde
vctor,vctor
elector,eleitor
reforma,reforma
derecho,direito
vicepresidenta,vicepresidente
directa,direta
suplemento,suplementar
vacantes,vagas
fin,fim
la,da
tomada,duma
primeras,primeiras
caribeas,residentes
deciden,concordar
misma,mesmo
tribunales,tribunais
debate,debate
amplia,mais
consideran,acreditarem
cada,cada
elige,eleitos
reparto,distribuio
paolo,paolo
protecin,proteo
italiana,italiana
apelaciones,recursos
potestad,autoridade
periodista,jornalista
dependiendo,dependendo
fax,fax
eliminacin,eliminao
cuarteles,militares
denunciado,informou
ayudan,ajudam
tambin,tambm
est,esteja
vctima,vtima
declarar,resultados
partido,registado
desempleada,desempregado
les,lhes
cuestin,questo
traslado,traslado
cargos,indiciar
inclusin,suplementar
ser,ser
pobreza,pobreza
ocurir,acontecer
prestar,precisar
postularse,apresentarse
delegados,delegados
pedirnos,reviso
identificacin,documentos
parte,seu
dubln,dublin
sean,ser
impedirle,asembleia
presentacin,apresentao
economa,economia
cunto,quanto
cmaras,cmara
per,peru
retrasar,adiar
podran,jri
europeo,parlamento
nuestras,nosas
dactilares,digitais
recurible,residncia
visado,visto
colegio,asembleia
decidir,decidir
considera,considerase
sern,sero
circunstancias,circunstncias
estoy,eu
unido,unido
origen,privado
ministros,ministros
corte,pronto
afectan,afetem
me,crime
litigante,atuando
ver,ver
donacin,donativo
obtener,sobre
nuevo,deve
publica,publicado
ila,ila
colateral,paralelo
candidaturas,candidaturas
plaza,piaza
personal,pesoal
implicar,implica
inscripcin,inscrio
faltan,fica
consentir,utilizarem
reservas,reservas
denomina,denominado
diplomticos,diplomatas
muy,muito
rosa,rosa
dinero,dinheiro
evento,evento
deber,deve
conserva,cargo
sala,senado
fiscal,vtima
consultar,consultar
efectiva,efetiva
fiables,fiveis
giorgi,giorgi
crdito,crdito
italiano,italiano
sus,seus
oponerse,obstar
becker,becker
jurdico,jurdico
elaboran,compila
sergio,sergio
ministerio,ministrio
rene,rene
miln,milo
ruso,ruso
primera,primeira
aciones,constituir
representarle,representar
rendido,deponha
resumen,resumo
programas,programas
flix,flix
lugar,local
foto,com
muestre,apresente
pero,","
hatch,hatch
pases,pases
it,it
cualquier,qualquer
popular,popular
tapia,marioti
contacto,contato
sino,mas
cambio,cop
posible,posvel
visita,visita
una,que
tema,tema
ordenar,ordenar
tenemos,tomamos
ermete,ermete
valores,recprocos
ha,relao
febrero,fevereiro
cavaliere,cavaliere
impuesta,imposta
punido,punido
caribe,trs
sitio,noso
terminado,terminado
esta,esta
contiene,contm
comunidades,comunidades
revisan,juzes
mortales,fatais
debido,devido
individual,judicial
recordamos,informamos
entablar,quanto
papeletas,boletins
mantener,manter
ya,j
candidato,candidato
permite,haver
hecho,sob
muerte,morte
participantes,participantes
acin,decidir
leve,leve
votan,votam
generalmente,geralmente
plazos,mas
los,e
censarse,registar
reitera,reafirma
ocure,em
infirmary,infirmary
bibliotecas,biblioteca
actuacin,funes
instituciones,instituies
transferirse,transferido
hospitales,internados
presenta,proceso
entender,comprender
diferente,diferente
presentarse,apresentar
municipal,municpio
compagna,compagna
dejar,branco
entrega,entregue
palabras,palavras
resto,os
jurada,juramento
colegios,asembleia
salida,partida
o,ou
titular,titular
cuaderno,livreto
letn,leto
rea,aonde
tres,trs
lunes,de
cometi,cometeu
personas,pesoa
cmo,como
jueces,juzes
.,.
enmienda,emenda
y,e
escuelas,utilizamse
juan,juan
transferida,candidato
necesitan,precisam
declararse,declararse
automticamente,automaticamente
poltica,anexo
investigaciones,investigador
investigacin,investigar
htpsw,htpsw
circuito,tribunal
puesto,vez
revisin,reviso
efecto,efeito
ambiente,ambiente
servicios,servios
republica,repblica
gobernanza,governana
promesa,legalmente
secretara,secretrio
describe,descreve
gutirez,gutirez
humanos,humanos
movilidad,mobilidade
publicacin,publicao
dobles,dupla
ciudad,cidade
latinoamericanas,latinoamericanas
cero,zero
ciudadano,cidado
dentro,ser
podr,pode
antecmara,antecmara
chile,chile
residencia,residncia
cumplido,idade
elegido,eleito
revisiones,revises
reino,reino
unidad,unidade
oficina,noso
subsecretario,subsecretrio
matrimonio,casamento
descripcin,descrio
ponga,contate
escribir,escrever
celebrarn,realizadas
polaco,polons
prevenir,evitar
finaliza,termina
suficiente,suficientes
cualquiera,livreto
representacin,representao
debern,devero
esa,ese
tribunal,tribunal
coperacin,coperao
viceministro,viceministro
proseguir,procesar
debe,","
comn,comum
extravos,perda
menor,anos
era,na
alonzo,alonzo
mxico,mxico
house,house
asesora,asesoria
romamiln,romamilo
panam,panam
designados,designados
admisible,inadmisvel
pilas,boletins
discapacidades,incapacidade
vctimas,vtimas
dio,pelo
categoras,grupos
expediente,instruo
soy,for
dosier,liberao
climtico,climticas
comenzado,comeou
siguiendo,seguindo
pietro,pietro
incluido,qualificar
cautela,cuidadosa
envan,enviam
anterior,anterior
sumarios,sumrios
procedimientos,procedimentos
estn,esto
acusado,acusado
irlanda,irlanda
junto,opo
tecnolgica,informao
electoral,eleitoral
incluir,incluir
tal,","
buena,alguma
xi,xi
aprobar,adotar
ltima,ltimo
dicha,ao
conseguir,consulado
queja,reclamao
solicita,boletim
cupo,quota
restructuracin,restruturao
abrir,abrir
optar,poder
algunas,algumas
normativa,regulamento
votacin,eleio
pueblo,povo
charles,charles
dar,a
b,lei
anteriores,citados
debera,deve
riesgo,segurana
es,a
aportacin,satisfeito
termini,termini
pueden,pode
l,ele
revise,revise
autocar,autocaro
usted,se
camera,camera
informacin,informaes
dificultad,dificuldade
celebrada,realizada
disponibles,disponveis
representa,representa
email,email
humana,humana
proceso,eleio
objetivo,visando
trabajan,representam
bufet,bufet
desea,quiser
identificadas,identificadas
todas,todas
incluida,includo
libertad,liberdade
provisional,provisoria
acusacin,acusao
inspectores,eleitoral
pida,pedir
dicho,ou
celebran,decorem
restante,restante
comunidad,comunidades
lista,lista
uno,dos
por,por
decisin,deciso
esperamos,esperamos
supremo,supremo
haber,tenham
existir,ento
raporti,raporti
siguen,elegveis
italiamrica,itliamrica
divide,dividido
cuidado,procesar
extravo,perda
secin,seco
brasil,brasil
ela,ela
as,","
elos,eles
responsabilidad,responsabilidade
significativo,significativo
registrado,registrou
finales,finais
mdico,mdico
alimentaria,alimentar
asesoramiento,aconselhamento
vinos,vinhos
ingresos,renda
vaya,v
bienes,bens
razones,razes
desempea,desempenha
gracias,gras
daos,danos
decida,decidir
foro,frum
caduti,caduti
pone,puser
ir,ser
dil,dil
tampoco,tambm
obstante,entanto
giro,mario
razn,razo
hochsteter,hochsteter
residentes,residente
ministro,ministro
contrarestar,consequncias
crecimiento,econmico
interparlamentaria,interparlamentar
transferibles,transferveis
experiencias,experincias
identificar,identificar
saln,no
podrn,podem
recoge,esto
asimismo,informamos
fraudulentos,fraudulentos
espaol,espanhol
funcionarios,funcionrios
embajada,embaixada
encontrar,encontrar
custodia,mantida
pose,das
solicitarnos,solicitar
acusar,acusar
lenguaje,linguagem
slo,","
entre,coreta
postal,iseno
vigencia,validade
exteriores,exteriores
quien,deteno
va,dar
bilete,ser
posibles,posveis
legales,seguintes
sin,no
duracin,cerca
el,o
catstrofes,naturais
enjuiciar,procesar
durante,durante
cierto,foram
maria,maria
elecin,eleio
ocupaciones,determinadas
resolucin,asembleia
sucede,que
ue,ue
prafo,pargrafo
ese,ese
lo,voc
an,an
nacimiento,nascimento
recibirse,recebidos
organizacin,organizao
marina,marina
notificarse,comunicadas
enva,enviada
frecuencia,contudo
datos,detalhes
pondr,oferecer
dirige,preside
sentido,sentido
montecitorio,montecitorio
sangre,sangue
presidenta,presidente
sostenibilidad,sustentabilidade
criminal,criminal
asistente,participante
pena,esteja
decir,dizer
documentos,identificao
respetuosa,respeitosa
ley,lei
discutir,discutir
penal,penal
letra,letra
explicarle,explicao
srl,os
inclusivo,inclusivo
decididos,analisados
temas,temas
italia,itlia
guatemala,guatemala
ltimo,estados
general,geral
prohibida,proibida
censado,registado
graso,graso
postulacin,candidatura
fi,wifi
pensar,pensar
periodo,perodo
igual,igual
facilitando,apresentando
econmico,econmico
counseling,contiver
votante,eleitor
haya,tenha
partida,certido
internet,website
enviar,fizer
norma,decorem
pars,paris
ms,mais
emigracin,emigrao
h,hs
papel,papel
len,lem
n,.
cules,quais
desigualdades,desigualdades
degustacin,degustao
dominicana,dominicana
veces,vezes
confirmacin,confirmao
web,site
foleto,livreto
inicio,comeando
previa,reunio
jefe,chefe
court,regional
falta,falta
solicitud,pedido
lower,lower
represente,representarme
participar,disputar
acompadas,acompanhado
quirinal,quirinal
considere,considere
argentina,argentina
cinco,cinco
gratuito,franquia
mesas,delegado
constar,constar
ortelado,fernando
prestando,estiver
tenido,teve
deshonestos,desonestos
cifra,valor
seguro,seguro
repblica,repblica
vino,vinho
incluyendo,incluindo
viven,residam
stampa,stampa
certificado,certificado
hace,o
comercial,eleitorais
bordo,embarque
cumplir,cumprir
mana,manh
fija,uma
crcel,em
